27890,2789*,278**,27***,2****,*****
27891,2789*,278**,27***,2****,*****
27892,2789*,278**,27***,2****,*****
27893,2789*,278**,27***,2****,*****
27896,2789*,278**,27***,2****,*****
27897,2789*,278**,27***,2****,*****
27909,2790*,279**,27***,2****,*****
27910,2791*,279**,27***,2****,*****
27915,2791*,279**,27***,2****,*****
27916,2791*,279**,27***,2****,*****
27917,2791*,279**,27***,2****,*****
27919,2791*,279**,27***,2****,*****
27920,2792*,279**,27***,2****,*****
27921,2792*,279**,27***,2****,*****
27922,2792*,279**,27***,2****,*****
27923,2792*,279**,27***,2****,*****
27924,2792*,279**,27***,2****,*****
27925,2792*,279**,27***,2****,*****
27926,2792*,279**,27***,2****,*****
27927,2792*,279**,27***,2****,*****
27928,2792*,279**,27***,2****,*****
27929,2792*,279**,27***,2****,*****
27932,2793*,279**,27***,2****,*****
27935,2793*,279**,27***,2****,*****
27936,2793*,279**,27***,2****,*****
27937,2793*,279**,27***,2****,*****
27938,2793*,279**,27***,2****,*****
27939,2793*,279**,27***,2****,*****
27941,2794*,279**,27***,2****,*****
27942,2794*,279**,27***,2****,*****
27943,2794*,279**,27***,2****,*****
27944,2794*,279**,27***,2****,*****
27946,2794*,279**,27***,2****,*****
27947,2794*,279**,27***,2****,*****
27948,2794*,279**,27***,2****,*****
27949,2794*,279**,27***,2****,*****
27950,2795*,279**,27***,2****,*****
27953,2795*,279**,27***,2****,*****
27954,2795*,279**,27***,2****,*****
27956,2795*,279**,27***,2****,*****
27957,2795*,279**,27***,2****,*****
27958,2795*,279**,27***,2****,*****
27959,2795*,279**,27***,2****,*****
27960,2796*,279**,27***,2****,*****
27962,2796*,279**,27***,2****,*****
27964,2796*,279**,27***,2****,*****
27965,2796*,279**,27***,2****,*****
27966,2796*,279**,27***,2****,*****
27967,2796*,279**,27***,2****,*****
27968,2796*,279**,27***,2****,*****
27969,2796*,279**,27***,2****,*****
27970,2797*,279**,27***,2****,*****
27972,2797*,279**,27***,2****,*****
27973,2797*,279**,27***,2****,*****
27974,2797*,279**,27***,2****,*****
27976,2797*,279**,27***,2****,*****
27978,2797*,279**,27***,2****,*****
27979,2797*,279**,27***,2****,*****
27980,2798*,279**,27***,2****,*****
27981,2798*,279**,27***,2****,*****
27982,2798*,279**,27***,2****,*****
27983,2798*,279**,27***,2****,*****
27985,2798*,279**,27***,2****,*****
27986,2798*,279**,27***,2****,*****
28001,2800*,280**,28***,2****,*****
28006,2800*,280**,28***,2****,*****
28007,2800*,280**,28***,2****,*****
28009,2800*,280**,28***,2****,*****
28010,2801*,280**,28***,2****,*****
28012,2801*,280**,28***,2****,*****
28016,2801*,280**,28***,2****,*****
28017,2801*,280**,28***,2****,*****
28018,2801*,280**,28***,2****,*****
28019,2801*,280**,28***,2****,*****
28020,2802*,280**,28***,2****,*****
28021,2802*,280**,28***,2****,*****
28023,2802*,280**,28***,2****,*****
28024,2802*,280**,28***,2****,*****
28025,2802*,280**,28***,2****,*****
28026,2802*,280**,28***,2****,*****
28027,2802*,280**,28***,2****,*****
28031,2803*,280**,28***,2****,*****
28032,2803*,280**,28***,2****,*****
28033,2803*,280**,28***,2****,*****
28034,2803*,280**,28***,2****,*****
28035,2803*,280**,28***,2****,*****
28036,2803*,280**,28***,2****,*****
28037,2803*,280**,28***,2****,*****
28038,2803*,280**,28***,2****,*****
28039,2803*,280**,28***,2****,*****
28040,2804*,280**,28***,2****,*****
28041,2804*,280**,28***,2****,*****
28042,2804*,280**,28***,2****,*****
28043,2804*,280**,28***,2****,*****
28052,2805*,280**,28***,2****,*****
28054,2805*,280**,28***,2****,*****
28056,2805*,280**,28***,2****,*****
28071,2807*,280**,28***,2****,*****
28072,2807*,280**,28***,2****,*****
28073,2807*,280**,28***,2****,*****
28075,2807*,280**,28***,2****,*****
28076,2807*,280**,28***,2****,*****
28077,2807*,280**,28***,2****,*****
28078,2807*,280**,28***,2****,*****
28079,2807*,280**,28***,2****,*****
28080,2808*,280**,28***,2****,*****
28081,2808*,280**,28***,2****,*****
28082,2808*,280**,28***,2****,*****
28083,2808*,280**,28***,2****,*****
28086,2808*,280**,28***,2****,*****
28088,2808*,280**,28***,2****,*****
28089,2808*,280**,28***,2****,*****
28090,2809*,280**,28***,2****,*****
28091,2809*,280**,28***,2****,*****
28092,2809*,280**,28***,2****,*****
28097,2809*,280**,28***,2****,*****
28098,2809*,280**,28***,2****,*****
28101,2810*,281**,28***,2****,*****
28102,2810*,281**,28***,2****,*****
28103,2810*,281**,28***,2****,*****
28104,2810*,281**,28***,2****,*****
28105,2810*,281**,28***,2****,*****
28107,2810*,281**,28***,2****,*****
28109,2810*,281**,28***,2****,*****
28110,2811*,281**,28***,2****,*****
28112,2811*,281**,28***,2****,*****
28114,2811*,281**,28***,2****,*****
28115,2811*,281**,28***,2****,*****
28117,2811*,281**,28***,2****,*****
28119,2811*,281**,28***,2****,*****
28120,2812*,281**,28***,2****,*****
28124,2812*,281**,28***,2****,*****
28125,2812*,281**,28***,2****,*****
28127,2812*,281**,28***,2****,*****
28128,2812*,281**,28***,2****,*****
28129,2812*,281**,28***,2****,*****
28133,2813*,281**,28***,2****,*****
28134,2813*,281**,28***,2****,*****
28135,2813*,281**,28***,2****,*****
28136,2813*,281**,28***,2****,*****
28137,2813*,281**,28***,2****,*****
28138,2813*,281**,28***,2****,*****
28139,2813*,281**,28***,2****,*****
28144,2814*,281**,28***,2****,*****
